container.title,created,deposited,published.print,doi,indexed,issn,issue,issued,page,publisher,source,subject,title,type,url,short.container.title,language
Ecology and Evolution,2014-03-31,2021-07-02,2014-05,10.1002/ece3.1049,2023-02-09,"2045-7758,2045-7758",9,2014-03-31,1589-1600,Wiley,Crossref,"Nature and Landscape Conservation,Ecology,Ecology, Evolution, Behavior and Systematics","Power lines, roads, and avian nest survival: effects on predator identity and predation intensity",journal-article,http://dx.doi.org/10.1002/ece3.1049,Ecol Evol,en
The Wilson Bulletin,2006-07-18,2019-04-20,2001-06,10.1676/0043-5643(2001)113[0243:spoibi]2.0.co;2,2022-03-30,0043-5643,2,2001-06,243-245,Wilson Ornithological Society,Crossref,Animal Science and Zoology,Song Properties of Indigo Buntings in Open and Forested Habitats,journal-article,http://dx.doi.org/10.1676/0043-5643(2001)113[0243:spoibi]2.0.co;2,The Wilson Bulletin,en
The Wilson Journal of Ornithology,2010-11-17,2017-06-19,2010-12,10.1676/09-204.1,2022-04-05,"1559-4491,1938-5447",4,2010-12,655-665,Wilson Ornithological Society,Crossref,"Animal Science and Zoology,Ecology,Ecology, Evolution, Behavior and Systematics",Effects of Breeding Stage and Behavioral Context on Singing Behavior of Male Indigo Buntings,journal-article,http://dx.doi.org/10.1676/09-204.1,The Wilson Journal of Ornithology,en
The Wilson Bulletin,2006-08-28,2019-04-20,2005-12,10.1676/04-113.1,2022-03-30,0043-5643,4,2005-12,353-363,Wilson Ornithological Society,Crossref,Animal Science and Zoology,USE OF GROUP-SELECTION AND SEED-TREE CUTS BY THREE EARLY-SUCCESSIONAL MIGRATORY SPECIES IN ARKANSAS,journal-article,http://dx.doi.org/10.1676/04-113.1,The Wilson Bulletin,en
Conservation Physiology,2015-02-06,2022-04-28,2015,10.1093/conphys/cou063,2023-02-14,2051-1434,1,2015,cou063,Oxford University Press (OUP),Crossref,"Management, Monitoring, Policy and Law,Nature and Landscape Conservation,Ecological Modeling,Physiology",Predator-induced renesting and reproductive effort in indigo buntings: more work for less pay?,journal-article,http://dx.doi.org/10.1093/conphys/cou063,Conserv Physiol,en
The Journal of the Acoustical Society of America,2002-07-26,2016-12-25,1997-11,10.1121/1.420820,2022-03-29,0001-4966,5,1997-11,3176-3176,Acoustical Society of America (ASA),Crossref,"Acoustics and Ultrasonics,Arts and Humanities (miscellaneous)",Automated bird songs recognition using dynamic time warping and hidden Markov models,journal-article,http://dx.doi.org/10.1121/1.420820,The Journal of the Acoustical Society of America,en
The Wilson Journal of Ornithology,2014-07-07,2020-08-22,2014-06,10.1676/13-147.1,2022-04-02,"1559-4491,1938-5447",2,2014-06,370-373,Wilson Ornithological Society,Crossref,"Animal Science and Zoology,Ecology,Ecology, Evolution, Behavior and Systematics",Provisioning Behavior of Male and Female Indigo Buntings,journal-article,http://dx.doi.org/10.1676/13-147.1,The Wilson Journal of Ornithology,en
NA,2023-02-06,2023-02-08,NA,10.1101/2023.02.06.527265,2023-02-09,NA,NA,2023-02-06,NA,Cold Spring Harbor Laboratory,Crossref,NA,Individual differences in developmental trajectory leave a male polyphenic signature in bulb mite populations,posted-content,http://dx.doi.org/10.1101/2023.02.06.527265,NA,NA
NA,2023-02-07,2023-02-08,NA,10.1101/2023.02.06.527306,2023-02-09,NA,NA,2023-02-06,NA,Cold Spring Harbor Laboratory,Crossref,NA,Bird wings are shaped by thermoregulatory demand for heat dissipation,posted-content,http://dx.doi.org/10.1101/2023.02.06.527306,NA,NA
NA,2022-05-20,2023-02-06,NA,10.1101/2022.04.25.489353,2023-02-06,NA,NA,2022-04-26,NA,Cold Spring Harbor Laboratory,Crossref,NA,A generic risk assessment model for animal disease entry through wildlife: The example of highly pathogenic avian influenza and African swine fever in The Netherlands,posted-content,http://dx.doi.org/10.1101/2022.04.25.489353,NA,NA
NA,2020-07-11,2020-07-12,NA,10.1101/2020.07.09.194563,2022-12-03,NA,NA,2020-07-10,NA,Cold Spring Harbor Laboratory,Crossref,NA,Which animals are at risk? Predicting species susceptibility to Covid-19,posted-content,http://dx.doi.org/10.1101/2020.07.09.194563,NA,NA
NA,2023-02-13,2023-02-15,NA,10.1101/2023.02.12.525808,2023-02-16,NA,NA,2023-02-13,NA,Cold Spring Harbor Laboratory,Crossref,NA,"Genomic, genetic and phylogenetic evidence for a new falcon species using chromosome-level genome assembly of the gyrfalcon and population genomics",posted-content,http://dx.doi.org/10.1101/2023.02.12.525808,NA,NA
NA,2023-02-07,2023-02-09,NA,10.1101/2023.02.07.527438,2023-02-10,NA,NA,2023-02-07,NA,Cold Spring Harbor Laboratory,Crossref,NA,Assessing vector competence of mosquitoes from northeastern France to West Nile virus and Usutu virus,posted-content,http://dx.doi.org/10.1101/2023.02.07.527438,NA,NA
NA,2019-12-02,2020-12-01,NA,10.1101/860882,2022-04-01,NA,NA,2019-11-30,NA,Cold Spring Harbor Laboratory,Crossref,NA,"Females don’t always sing in response to male song, but when they do, they sing to males with higher pitched songs",posted-content,http://dx.doi.org/10.1101/860882,NA,NA
NA,2019-02-16,2022-09-11,NA,10.1101/550814,2022-09-12,NA,NA,2019-02-15,NA,Cold Spring Harbor Laboratory,Crossref,NA,Tracking activity patterns of a multispecies community of gymnotiform weakly electric fish in their neotropical habitat without tagging,posted-content,http://dx.doi.org/10.1101/550814,NA,NA
NA,2022-08-19,2022-11-23,NA,10.1101/2022.08.18.504442,2022-11-24,NA,NA,2022-08-19,NA,Cold Spring Harbor Laboratory,Crossref,NA,Beat encoding at mistuned octaves within single sensory neurons,posted-content,http://dx.doi.org/10.1101/2022.08.18.504442,NA,NA
NA,2021-04-20,2021-12-15,NA,10.1101/2021.04.18.440157,2022-03-29,NA,NA,2021-04-19,NA,Cold Spring Harbor Laboratory,Crossref,NA,The critical role of natural history museums in advancing eDNA for biodiversity studies: a case study with Amazonian fishes,posted-content,http://dx.doi.org/10.1101/2021.04.18.440157,NA,NA
NA,2017-06-15,2020-10-10,NA,10.1101/149906,2022-04-06,NA,NA,2017-06-14,NA,Cold Spring Harbor Laboratory,Crossref,NA,Simultaneous spike-time locking to multiple frequencies,posted-content,http://dx.doi.org/10.1101/149906,NA,NA
Researches on Crustasea,2017-09-07,2018-08-15,1983,10.18353/rcustacea.12.0_97,2022-03-29,2433-0108,0,1983,97-110,Carcinological Society of Japan,Crossref,"General Medicine,General Chemistry","STUDIES ON THE GENUS SERGESTES(CRUSTACEA, DECAPODA) : I. SERGESTES(SERGIA) JAPONICUS BATE, 1881 AND SERGESTES(SERGIA) MOLLIS SMITH, 1884",journal-article,http://dx.doi.org/10.18353/rcustacea.12.0_97,Res. Crust.,en
Researches on Crustasea,2017-09-07,2018-08-15,1986,10.18353/rcustacea.15.0_29,2022-04-02,2433-0108,0,1986,29-36,Carcinological Society of Japan,Crossref,"General Medicine,General Chemistry","STUDIES ON THE GENUS SERGESTES(CRUSTACEA, DECAPODA) : III. SERGESTES GARDINERI KEMP, 1913",journal-article,http://dx.doi.org/10.18353/rcustacea.15.0_29,Res. Crust.,en
The Japanese journal of animal reproduction,2012-02-16,2021-03-26,1990,10.1262/jrd1977.36.133,2022-04-03,0385-9932,3,1990,133-139,Japanese Society of Animal Reproduction,Crossref,NA,Prolactin and testosterone on growth and morphology of the prostate in the mastomys (Plaomys (mastomys) natalensis) of both sexes.,journal-article,http://dx.doi.org/10.1262/jrd1977.36.133,The Japanese journal of animal reproduction,en
The Japanese Journal of Veterinary Science,2011-08-16,2021-03-31,1973,10.1292/jvms1939.35.311,2022-03-31,"0021-5295,1881-1442",4,1973,311-318_2,Japanese Society of Veterinary Science,Crossref,General Medicine,COMPARATIVE AND TOPOGRAPHICAL ANATOMY OF THE FOWL : LXXIII. SIZE AND DISTRIBUTION OF CORPUSCULA RENIS,journal-article,http://dx.doi.org/10.1292/jvms1939.35.311,The Japanese Journal of Veterinary Science,en
"Bioscience, Biotechnology, and Biochemistry",2005-03-29,2022-06-07,1998-01,10.1271/bbb.62.1231,2022-11-04,"0916-8451,1347-6947",6,1998-01,1231-1233,Informa UK Limited,Crossref,"Organic Chemistry,Molecular Biology,Applied Microbiology and Biotechnology,General Medicine,Biochemistry,Analytical Chemistry,Biotechnology",Globulin and Albumin-2 Associated with Protein Bodies in<i>Amaranthus cruentus</i>Seeds,journal-article,http://dx.doi.org/10.1271/bbb.62.1231,"Bioscience, Biotechnology, and Biochemistry",en
Japanese Journal of Breeding,2011-08-18,2021-03-29,1992,10.1270/jsbbs1951.42.43,2022-03-30,"0536-3683,2185-291X",1,1992,43-53,Japanese Society of Breeding,Crossref,Aerospace Engineering,Pollen Fertility and Seed Set Percentage After Backcrossing of Sesquidiploids(AAC genomes)Derived from Interspecific Hybrid between Brassica campestris L. (AA)and B. oleracea L. (CC)and Frequency Distribution of Aneuploids in the Progenies.,journal-article,http://dx.doi.org/10.1270/jsbbs1951.42.43,"Ikushugaku zasshi,Jpn.J. Breed.",en
Japanese Journal of Breeding,2011-08-16,2021-03-29,1971,10.1270/jsbbs1951.21.40,2022-11-15,"0536-3683,2185-291X",1,1971,40-48,Japanese Society of Breeding,Crossref,Aerospace Engineering,Studies on the Breeding of Oil Rape (Brassica napus var. oleifera) by Means of Interspecific Crosses between B. campestris ssp. oleifera and B. oleracea : I. Interspecific Crosses with the Application of Grafting Method or the Treatment of Sugar Solution,journal-article,http://dx.doi.org/10.1270/jsbbs1951.21.40,"Ikushugaku zasshi,Jpn.J. Breed.",en
Journal of the Yamashina Institute for Ornithology,2011-06-29,2021-05-20,1973,10.3312/jyio1952.7.2_179,2022-11-12,"1883-3659,0044-0183",2,1973,179-201,Yamashina Institute for Ornithology,Crossref,NA,A comparative study on the wintering ecology of four species of Emberiza in the basin of Chikuma River,journal-article,http://dx.doi.org/10.3312/jyio1952.7.2_179,Journal of the Yamashina Institute for Ornithology,NA
The Journal of the Geological Society of Japan,2011-12-21,2021-05-20,1924,10.5575/geosoc.31.375_395,2022-04-02,"0016-7630,1349-9963",375,1924,395-414,The Geological Society of Japan,Crossref,"General Earth and Planetary Sciences,General Engineering,General Environmental Science",NA,journal-article,http://dx.doi.org/10.5575/geosoc.31.375_395,Jour. Geol. Soc. Japan,NA
NA,2020-11-14,2022-11-28,NA,10.1101/2020.11.12.380675,2022-11-28,NA,NA,2020-11-13,NA,Cold Spring Harbor Laboratory,Crossref,NA,Developmental Single-cell transcriptomics in the<i>Lytechinus variegatus</i>Sea Urchin Embryo,posted-content,http://dx.doi.org/10.1101/2020.11.12.380675,NA,NA
Shokubutsugaku Zasshi,2014-07-15,2014-07-15,1966,10.15281/jplantres1887.79.345,2022-03-31,0006-808X,937,1966,345-349,The Botanical Society of Japan,Crossref,Plant Science,Contributions to the Knowledge of the Plagiochilaceae of Southeastern Asia VIII.,journal-article,http://dx.doi.org/10.15281/jplantres1887.79.345,Shokubutsugaku Zasshi,en
Doboku Gakkai Ronbunshu,2011-08-16,2021-06-05,1998-05-21,10.2208/jscej.1998.593_21,2022-04-01,"0289-7806,1882-7187",593,1998-05-21,21-29,Japan Society of Civil Engineers,Crossref,General Medicine,RELATIONSHIP BETWEEN STANDRAD LENGTH AND PREFERRED WATER VELOCITY ON FRESHWATER FISH FOR NATURALLY DIVERSE RIVER CONSTRUCTION METHODS,journal-article,http://dx.doi.org/10.2208/jscej.1998.593_21,Doboku Gakkai Ronbunshu,en
Acta Arachnologica,2008-01-24,2021-05-20,1985,10.2476/asjaa.34.23,2022-04-05,0001-5202,1,1985,23-30,Arachnological Society of Japan,Crossref,"Ecology, Evolution, Behavior and Systematics",BROOD-CARE BEHAVIOR IN THERIDION JAPONICUM OBSERVED AT A LABORATORY,journal-article,http://dx.doi.org/10.2476/asjaa.34.23,Acta Arachnologica,en
Journal of the Yamashina Institute for Ornithology,2014-03-29,2021-05-20,2012,10.3312/jyio.43.205,2022-04-01,"1348-5032,1882-0999",2,2012,205-221,Yamashina Institute for Ornithology,Crossref,Animal Science and Zoology,Catalogue of Specimens Donated to the Yamashina Institute for Ornithology: Messrs. Keikichi Oita and Masao Oita Collection,journal-article,http://dx.doi.org/10.3312/jyio.43.205,"J. Yamashina Inst. Ornithol.,Yamashina chouruigaku zasshi,J Yamashina Inst Ornithol",en
IEICE Transactions on Communications,2012-10-01,2021-04-26,2012,10.1587/transcom.e95.b.3215,2022-04-06,"0916-8516,1745-1345",10,2012,3215-3224,"Institute of Electronics, Information and Communications Engineers (IEICE)",Crossref,"Electrical and Electronic Engineering,Computer Networks and Communications,Software",Experimental Evaluation of the SAR Induced in Head Phantoms of Three- and Eight-Year-Old Children,journal-article,http://dx.doi.org/10.1587/transcom.e95.b.3215,IEICE Trans. Commun.,en
Food Science and Technology Research,2007-02-13,2021-05-20,2002,10.3136/fstr.8.317,2022-03-29,"1344-6606,1881-3984",4,2002,317-322,Japanese Society for Food Science and Technology,Crossref,"Marketing,Industrial and Manufacturing Engineering,General Chemical Engineering,Food Science,Biotechnology",Comparison of Interposition Ratios of Pink Muscle Fiber in Dorsal Ordinary Muscle among Various Marine Fishes.,journal-article,http://dx.doi.org/10.3136/fstr.8.317,FSTR,en
Anthropological Science,2014-07-09,2021-04-19,2014,10.1537/ase.140430,2022-10-12,"0918-7960,1348-8570",2,2014,69-79,Anthropological Society of Nippon,Crossref,Anthropology,Porotic hyperostosis and cribra orbitalia in human remains from southern Patagonia,journal-article,http://dx.doi.org/10.1537/ase.140430,"AS,Anthropological Science",en
Applied Entomology and Zoology,2017-09-07,2017-09-09,1973,10.1303/aez.8.220,2022-04-05,"0003-6862,1347-605X",4,1973,220-226,Japanese Society of Applied Entomology & Zoology,Crossref,Insect Science,The Selective Toxicity of Insecticides against Insect Pests of Rice and Their Natural Enemies,journal-article,http://dx.doi.org/10.1303/aez.8.220,"Appl. Entomol. Zool.,Appl. entomol. Zool",en
Fisheries science,2017-08-08,2017-08-12,1997,10.2331/fishsci.63.155,2022-04-05,0919-9268,1,1997,155-156,Japanese Society of Fisheries Science,Crossref,Aquatic Science,Optimum Fishing Policy by Linear Programming on Discrete Fishing Equations,journal-article,http://dx.doi.org/10.2331/fishsci.63.155,Fisheries science,en
NA,2020-10-03,2020-10-06,NA,10.1101/2020.10.02.324350,2022-04-02,NA,NA,2020-10-02,NA,Cold Spring Harbor Laboratory,Crossref,NA,Silencing of ATP synthase β reduces phytoplasma multiplication in the leafhopper vector <i>Euscelidius variegatus</i>,posted-content,http://dx.doi.org/10.1101/2020.10.02.324350,NA,NA
Journal of the Japanese Coral Reef Society,2010-08-09,2021-05-20,2009,10.3755/jcrs.11.51,2023-01-05,"1882-5710,1345-1421",1,2009,51-67,Japanese Coral Reef Society,Crossref,"Psychiatry and Mental health,Neuropsychology and Physiological Psychology",Latitudinal changes in hermatypic coral communities from west Kyushu to Oki Islands in Japan,journal-article,http://dx.doi.org/10.3755/jcrs.11.51,"Nihon Sangosho Gakkaishi,J Japan Coral Reef Soc,J Jpn Coral Reef Soc,Galaxea, JCRS,Galaxea, Journal of the Japanese Coral Reef Society",ja
The Proceedings of the Annual Convention of the Japanese Psychological Association,2020-09-25,2020-09-25,2019-09-11,10.4992/pacjpa.83.0_1c-080,2022-03-30,2433-7609,0,2019-09-11,1C-080-1C-080,The Japanese Psychological Association,Crossref,NA,Validity and Reliability on the New In-Basket Game,journal-article,http://dx.doi.org/10.4992/pacjpa.83.0_1c-080,The Proceedings of the Annual Convention of the JPA,en
Geographical review of Japan series B,2020-12-07,2022-12-03,2020-11-30,10.4157/geogrevjapanb.93.27,2022-12-04,1883-4396,1,2020-11-30,27-29,The Association of Japanese Geographers,Crossref,"Geography, Planning and Development","KANASAKA Kiyonori: &lt;i&gt;Unbeaten Tracks in Japan, Revisiting Isabella Bird: New Abridged Edition with Notes and Commentaries&lt;/i&gt;",journal-article,http://dx.doi.org/10.4157/geogrevjapanb.93.27,Geog. Rev. Japan B,en
Applied Entomology and Zoology,2004-05-25,2021-05-20,2004,10.1303/aez.2004.147,2022-07-30,"0003-6862,1347-605X",1,2004,147-154,Japanese Society of Applied Entomology & Zoology,Crossref,Insect Science,"Why can arrowhead scales, Unaspis yanonensis Kuwana (Homoptera: Diaspididae), which burrow and settle below conspecifics, successfully avoid attack by its parasitoid, Coccobius fulvus Compere et Annecke (Hymenoptera: Aphelinidae)?",journal-article,http://dx.doi.org/10.1303/aez.2004.147,Appl. Entomol. Zool.,en
NIPPON SUISAN GAKKAISHI,2011-09-20,2021-05-19,1982,10.2331/suisan.48.1783,2022-11-16,"1349-998X,0021-5392",12,1982,1783-1787,Japanese Society of Fisheries Science,Crossref,Aquatic Science,Plasma amino acid changes in Tilapia nilotica fed a casein and a corresponding free amino acid diet.,journal-article,http://dx.doi.org/10.2331/suisan.48.1783,NIPPON SUISAN GAKKAISHI,en
NIPPON SUISAN GAKKAISHI,2011-09-20,2021-05-19,1969,10.2331/suisan.35.148,2023-01-15,"1349-998X,0021-5392",2,1969,148-155,Japanese Society of Fisheries Science,Crossref,Aquatic Science,The Specific Difference of Salinity Tolerance Among Cichlid Fishes Genus Tilapia and Histological Comparison of Their Kidneys,journal-article,http://dx.doi.org/10.2331/suisan.35.148,NIPPON SUISAN GAKKAISHI,en
"Taiikugaku kenkyu (Japan Journal of Physical Education, Health and Sport Sciences)",2017-09-26,2017-09-26,1981,10.5432/jjpehss.kj00003402688,2022-03-30,"0484-6710,1881-7718",3,1981,253-262,"Japan Society of Physical Education, Health, and Sport Sciences",Crossref,General Engineering,Changes in the Diameters of Retinal Blood Vessels Due to the Submaximal Exercise,journal-article,http://dx.doi.org/10.5432/jjpehss.kj00003402688,"Japan Journal of Physical Education, Health and Sport Sciences,Japan J. Phys. Educ. Hlth. Sport Sci.",en
Fisheries Science,2004-12-24,2020-02-05,2003-04,10.1046/j.1444-2906.2003.00616.x,2023-02-07,"0919-9268,1444-2906",2,2003-04,260-268,Japanese Society of Fisheries Science,Crossref,Aquatic Science,"Predator-prey systems of drifting seaweed communities offthe Tohoku coast, northern Japan, as determined by feeding habitanalysis of phytal animals",journal-article,http://dx.doi.org/10.1046/j.1444-2906.2003.00616.x,Fisheries Sci,en
Plant tissue culture letters,2011-10-25,2021-05-20,1989,10.5511/plantbiotechnology1984.6.144,2022-10-01,"1884-7706,0289-5773",3,1989,144-147,Japanese Society for Plant Cell and Molecular Biology,Crossref,General Computer Science,Protoplast culture and plantlet regeneration in stock (Matthiola incana R. Br.).,journal-article,http://dx.doi.org/10.5511/plantbiotechnology1984.6.144,Plant tissue culture letters,NA
CYTOLOGIA,2011-10-14,2021-04-16,1967,10.1508/cytologia.32.474,2022-10-01,"0011-4545,1348-7019",3-4,1967,474-480,International Society of Cytology,Crossref,"Cell Biology,Plant Science,Genetics,Animal Science and Zoology",Cytology of the Genus &lt;i&gt;Coleus&lt;/i&gt;,journal-article,http://dx.doi.org/10.1508/cytologia.32.474,"CYTOLOGIA,cytologia",en
The Japanese Journal of Genetics,2008-02-13,2021-03-26,1957,10.1266/jjg.32.129,2022-04-03,"0021-504X,1880-5787",4,1957,129-135,Genetics Society of Japan,Crossref,"Genetics,General Medicine",Cytogenetical studies on the intergeneric F&lt;sub&gt;1&lt;/sub&gt; hybrids raised between &lt;i&gt;Triticum orientale×Secale africanum&lt;/i&gt; and &lt;i&gt;T. Spelta×S. montanum&lt;/i&gt;,journal-article,http://dx.doi.org/10.1266/jjg.32.129,"The Japanese journal of genetics,Jpn J Genet.",en
NA,2016-11-12,2020-01-18,NA,10.1101/087015,2022-04-01,NA,NA,2016-11-11,NA,Cold Spring Harbor Laboratory,Crossref,NA,Copyright and the Use of Images as Biodiversity Data,posted-content,http://dx.doi.org/10.1101/087015,NA,NA
NA,2022-12-12,2023-01-26,NA,10.1101/2022.12.11.519905,2023-01-27,NA,NA,2022-12-11,NA,Cold Spring Harbor Laboratory,Crossref,NA,Coding-sequence evolution does not explain divergence in petal anthocyanin pigmentation between<i>Mimulus luteus</i>var.<i>luteus</i>and<i>M. l. variegatus</i>,posted-content,http://dx.doi.org/10.1101/2022.12.11.519905,NA,NA
NA,2020-04-01,2020-07-10,NA,10.1101/2020.03.31.018010,2022-04-02,NA,NA,2020-04-01,NA,Cold Spring Harbor Laboratory,Crossref,NA,Biological characterization of Euscelidius variegatus iflavirus 1,posted-content,http://dx.doi.org/10.1101/2020.03.31.018010,NA,NA
NA,2019-03-09,2022-09-13,NA,10.1101/572388,2022-09-14,NA,NA,2019-03-08,NA,Cold Spring Harbor Laboratory,Crossref,NA,The Developmental Transcriptome for<i>Lytechinus variegatus</i>Exhibits Temporally Punctuated Gene Expression Changes,posted-content,http://dx.doi.org/10.1101/572388,NA,NA
NA,2022-03-04,2022-08-08,NA,10.1101/2022.03.03.482868,2022-08-22,NA,NA,2022-03-04,NA,Cold Spring Harbor Laboratory,Crossref,NA,Recent reconfiguration of an ancient developmental gene regulatory network in <i>Heliocidaris</i> sea urchins,posted-content,http://dx.doi.org/10.1101/2022.03.03.482868,NA,NA
NA,2019-12-24,2020-12-01,NA,10.1101/2019.12.23.887075,2022-04-02,NA,NA,2019-12-23,NA,Cold Spring Harbor Laboratory,Crossref,NA,Environmental unpredictability shapes glucocorticoid regulation across populations of tree swallows,posted-content,http://dx.doi.org/10.1101/2019.12.23.887075,NA,NA
Nippon Saikingaku Zasshi,2011-09-13,2021-05-20,1971,10.3412/jsb.26.319,2022-03-31,"1882-4110,0021-4930",7,1971,319-324,Japanese Society for Bacteriology,Crossref,General Medicine,"Studies on Toxoids from the Venom of Habu (Trimeresurus flavoviridis), a Crotalid",journal-article,http://dx.doi.org/10.3412/jsb.26.319,Japanese journal of bacteriology,ja
Journal of Pesticide Science,2011-09-20,2021-04-23,2001,10.1584/jpestics.26.261,2022-03-29,"1348-589X,1349-0923",3,2001,261-265,Pesticide Science Society of Japan,Crossref,"Health, Toxicology and Mutagenesis,Insect Science","Effects of Two Isoflavonoids, Osajin and Pomiferin, from &lt;i&gt;Maclura pomifera&lt;/i&gt; for Growth and Feeding Disruption in &lt;i&gt;Ostrinia nubilalis&lt;/i&gt;",journal-article,http://dx.doi.org/10.1584/jpestics.26.261,"J. Pestic. Sci.,Journal of Pesticide Science",en
The Bulletin of the Japanese Bird Banding Association,2021-09-30,2021-10-02,2020-12-31,10.14491/jbba.ms126,2022-03-29,"0914-4307,2187-2481",1_2,2020-12-31,12-20,The Japanese Bird Banding Association,Crossref,General Medicine,Breeding philopatry and natal philopatry of Russet Sparrow &lt;i&gt;Passer cinnamomeus&lt;/i&gt; breeding in lowland open forest in eastern Aomori Prefecture,journal-article,http://dx.doi.org/10.14491/jbba.ms126,Bull Jpn Bird Banding Assoc,en
BULLETIN OF THE GEOLOGICAL SURVEY OF JAPAN,2014-12-12,2021-06-09,2004,10.9795/bullgsj.55.67,2022-03-29,1346-4272,3-4,2004,67-92,National Institute of Advanced Industrial Science,Crossref,Pharmacology (medical),"The early Cenomanian (Cretaceous) ammonite fauna from the Soeushinai area of Hokkaido, North Japan",journal-article,http://dx.doi.org/10.9795/bullgsj.55.67,Bull. Geol. Surv. Japan,en
Nihon Chikusan Gakkaiho,2011-09-20,2021-05-20,1964,10.2508/chikusan.35.tokubetu_61,2022-04-01,"1346-907X,1880-8255",tokubetu,1964,61-66,Japanese Society of Animal Science,Crossref,"Electrical and Electronic Engineering,Building and Construction",Serological Studies on the Jungle Fowl,journal-article,http://dx.doi.org/10.2508/chikusan.35.tokubetu_61,Nihon Chikusan Gakkaiho,ja
Medical Entomology and Zoology,2016-08-22,2016-08-22,1994,10.7601/mez.45.43,2022-03-29,"0424-7086,2185-5609",1,1994,43-51,Japan Society of Medical Entomology and Zoology,Crossref,NA,Study of the natural predators of a mosquito Culex tritaeniorhynchus in rice field areas by using precipitin tests : 1. Laboratory tests for the detection of the antigens specific to Culex tritaeniorhynchus extract,journal-article,http://dx.doi.org/10.7601/mez.45.43,"Jap. J. Sanit. Zool.,Med. Entomol. Zool.,Jpn. J. Sanit. Zool.",en
Journal of African Studies,2014-11-20,2014-11-20,2001,10.11619/africa1964.2001.59_101,2022-08-02,"0065-4140,1884-5533",59,2001,101-114,Japan Association for African Studies,Crossref,NA,"The Fossil Footprints in Samburu Hills, Northern Kenya",journal-article,http://dx.doi.org/10.11619/africa1964.2001.59_101,Africa-kenkyu,en
Researches on Crustasea,2017-09-07,2018-08-15,1981,10.18353/rcustacea.11.0_17,2022-03-30,2433-0108,0,1981,17-35,Carcinological Society of Japan,Crossref,"General Medicine,General Chemistry",ON SOME CHYDORID AND MACROTHRICID(CRUSTACEA: CLADOCERA) FROM PUNJAB WITH THE DESCRIPTION OF THREE NEW SPECIES,journal-article,http://dx.doi.org/10.18353/rcustacea.11.0_17,Res. Crust.,en
JOURNAL OF INDIAN AND BUDDHIST STUDIES (INDOGAKU BUKKYOGAKU KENKYU),2011-07-13,2021-05-19,2003,10.4259/ibk.52.312,2022-03-31,"1884-0051,0019-4344",1,2003,312-310,Japanese Association of Indian and Buddhist Studies,Crossref,NA,On the Significance of the Uposatha,journal-article,http://dx.doi.org/10.4259/ibk.52.312,jibs,NA
Nematological Research (Japanese Journal of Nematology),2015-01-29,2015-01-29,1993,10.3725/jjn1993.23.1_19,2023-02-03,"0919-6765,1882-3408",1,1993,19-27,The Japanese Nematological Society,Crossref,General Medicine,"A Survey of the Nematodes Attacking Crops in Thailand II. Genus Tylenchorhynchus COBB, 1913",journal-article,http://dx.doi.org/10.3725/jjn1993.23.1_19,Jpn. J. Nematol.,en
Japanese journal of applied entomology and zoology,2011-07-13,2021-05-20,1992,10.1303/jjaez.36.183,2022-03-30,"0021-4914,1347-6068",3,1992,183-191,Japanese Society of Applied Entomology & Zoology,Crossref,Insect Science,"Effect of Insecticides on the Serpentine Leafminer, Liriomyza trifolii (BURGESS) (Diptera: Agromyzidae).",journal-article,http://dx.doi.org/10.1303/jjaez.36.183,Japanese journal of applied entomology and zoology,ja
Japanese Journal of Medical Mycology,2010-08-31,2021-05-20,1969,10.3314/jjmm1960.10.305,2022-03-30,"1884-6971,0583-0516",4,1969,305-315_1,The Japanese Society for Medical Mycology,Crossref,NA,Studies on Serological Relationships of Yeasts. (I) Genera Kloeckera and Hanseniaspora,journal-article,http://dx.doi.org/10.3314/jjmm1960.10.305,Jpn J Med Mycol,NA
Medical Entomology and Zoology,2016-08-06,2021-04-17,2005-03-15,10.7601/mez.56.53_1,2022-04-02,"0424-7086,2185-5609",1,2005-03-15,53-55,Japan Society of Medical Entomology and Zoology,Crossref,NA,An experimental analysis on the summer activity of the new generation of Haemaphysalis flava adults (Acari : Ixodidae) on vegetation,journal-article,http://dx.doi.org/10.7601/mez.56.53_1,"Jap. J. Sanit. Zool.,Med. Entomol. Zool.,Jpn. J. Sanit. Zool.",en
Japanese Journal of Tropical Medicine and Hygiene,2012-02-16,2015-07-03,1978,10.2149/tmh1973.6.9,2022-04-05,"2186-1811,0304-2146",1,1978,9-14,Japanese Society of Tropical Medicine,Crossref,NA,"A NEW SPECIES OF BLACK-FLY FROM KYUSHU, JAPAN (SIMULIIDAE : DIPTERA)",journal-article,http://dx.doi.org/10.2149/tmh1973.6.9,Jap. J. Trop. Med. Hyg.,NA
Japanese Journal of Zoo and Wildlife Medicine,2018-05-03,2018-05-05,2016-04-30,10.5686/jjzwm.21.59,2022-03-31,"1342-6133,2185-744X",3,2016-04-30,59-63,Japanese Society of Zoo and Wildlife Medicine,Crossref,NA,The Necessity of Disease Ecology for the Interpretation of Data on Sarcoptic Mange in Raccoon Dogs （&lt;i&gt;Nyctereutes procyonoides&lt;/i&gt;）in Gifu Prefecture,journal-article,http://dx.doi.org/10.5686/jjzwm.21.59,Jpn. J. Zoo Wildl. Med.,en
